"id","first_name","last_name","birth_date","gender","phone"
"patient_1","Michael","Johnson","1980-04-23","male","+380123456789"
"patient_2","Sarah","Connor","1975-09-15","female","+380123456789"
"patient_3","David","Clark","1985-06-12","male","+380123456789"
"patient_4","Laura","Garcia","1990-11-03","female","+380123456789"
"patient_5","Daniel","Martinez","1982-01-19","male","+380123456789"
"patient_6","Susan","Rodriguez","1977-02-28","female","+380123456789",
"patient_7","Charles","Wilson","1988-07-15","male","+380123456789"
"patient_8","Patricia","Anderson","1995-08-21","female","+380123456789"
"patient_9","Steven","Thomas","1993-12-11","male","+380123456789"
"patient_10","Nancy","Harris","1983-05-30","female","+380123456789"
